amount,contributor_name,date,honoree_name,state,country
2500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-03-06,Rep. Bill Young,VA,US
5000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-05-14,Rep. Jeff Miller,VA,US
2600.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-06-05,Rep. Joe Barton,VA,US
2500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-03-06,Rep. Marsha Blackburn,VA,US
1000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-04-22,Sen. Jack Francis Reed,VA,US
1000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-02-19,Rep. Paul Gosar,VA,US
5000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-02-12,Rep. Hal Rogers,VA,US
2000.00,"VASSILIADIS, WILLIAM",2013-03-04,Dick Durbin,NV,US
2000.00,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT,2013-05-17,Rep. John B. Larson,AR,US
2500.00,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT,2013-03-19,Rep. Lynn Jenkins,AR,US
1000.00,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT,2013-03-19,Sen. Pat Roberts,AR,US
60000.00,WAL-MART STORES INC,2013-05-01,Members of the Congressional Hispanic Caucus,AR,US
5000.00,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT,2013-02-05,Sen. Mark E. Udall,AR,US
1000.00,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT,2013-04-18,Rep. John D. Dingell,AR,US
1500.00,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT,2013-03-27,Rep. James David Matheson,AR,US
2500.00,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT,2013-05-31,Rep. Joaquin Castro,AR,US
5000.00,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT,2013-02-05,Rep. Stephen A. Womack,AR,US
